5	0	1	3	0	0	18	6	26	19	
15	11	29	26	24	5	28	23	16	9	
0	2	11	4	5	32	14	3	0	0	
12	17	18	19	19	5	21	14	11	1	
19	25	26	17	9	28	23	31	30	17	
4	15	7	28	6	25	27	32	32	20	
12	8	9	27	0	12	3	22	1	0	
30	9	8	19	22	27	23	15	6	24	
15	15	31	24	3	19	12	24	19	18	
11	4	7	13	26	16	32	24	11	5	

0	6	0	6	7	21	16	2	22	16	
4	31	4	29	22	9	13	2	31	22	
5	28	26	19	6	5	26	15	5	16	
23	13	9	18	22	24	23	15	4	12	
27	1	16	21	13	3	31	30	18	11	
15	12	27	10	14	8	32	9	24	18	
6	24	27	13	16	29	0	32	18	1	
17	6	27	20	21	6	27	4	3	24	
10	30	9	11	4	24	27	23	19	24	
8	4	0	1	26	27	6	3	18	0	

4	4	0	0	4	3	14	24	22	17	
2	14	6	22	9	14	7	18	17	20	
5	16	31	22	30	6	11	5	32	14	
32	3	20	3	14	30	1	29	9	7	
25	13	6	20	19	14	15	19	20	28	
27	20	23	18	12	6	24	18	29	7	
6	19	22	19	11	16	2	24	20	20	
22	26	4	18	28	29	20	23	1	21	
31	10	18	10	5	3	28	27	24	5	
10	2	2	21	26	17	14	13	9	15	

6	6	0	5	0	16	5	10	24	10	
27	31	28	23	9	30	4	2	25	17	
19	31	2	28	21	10	3	16	7	9	
30	18	21	3	16	12	16	25	16	12	
22	17	19	12	0	23	3	20	28	16	
24	16	12	25	18	11	31	20	5	12	
4	24	31	20	0	10	1	20	4	27	
28	19	23	27	0	4	23	20	7	2	
5	20	11	10	12	21	26	26	17	20	
26	29	4	20	13	8	4	28	2	14	

5	5	3	0	0	18	9	17	7	10	
3	26	4	9	25	29	25	24	20	11	
28	7	28	7	8	17	32	1	2	17	
13	3	8	29	7	4	4	30	2	1	
1	11	29	13	14	31	27	17	27	22	
13	8	0	17	31	13	7	19	8	22	
30	14	29	0	30	19	25	18	4	7	
12	0	13	2	21	28	2	26	21	22	
26	17	22	4	22	23	25	1	28	21	
23	2	18	31	1	9	4	32	20	9	

0	0	6	3	4	30	12	22	7	5	
7	17	29	3	29	14	2	25	5	31	
25	28	6	14	0	24	3	13	10	32	
1	8	6	8	5	20	29	30	6	25	
21	21	29	14	30	21	4	20	18	13	
30	17	18	17	8	13	11	1	26	6	
2	12	19	2	6	5	21	14	19	22	
14	22	12	27	19	6	31	28	12	32	
6	29	18	14	20	23	1	9	8	13	
29	23	23	29	12	13	29	10	12	18	

5	0	0	0	5	11	24	24	24	24	
4	6	8	22	29	12	16	3	29	6	
16	21	14	22	2	2	2	0	11	10	
22	4	12	2	22	23	6	22	20	21	
17	3	17	1	31	15	31	23	17	22	
22	12	12	1	26	5	1	10	25	6	
10	15	0	14	16	19	24	13	11	27	
30	20	32	1	18	28	12	10	9	0	
20	12	0	1	14	28	30	13	23	20	
26	28	19	19	2	25	15	19	19	18	

0	0	6	5	0	26	22	11	0	8	
11	7	25	12	28	3	23	20	29	5	
17	29	25	31	6	29	26	31	27	29	
20	6	20	8	8	23	25	5	23	15	
2	26	28	4	10	18	15	24	6	23	
32	0	21	22	5	2	9	22	27	18	
12	25	7	20	7	6	31	9	0	25	
4	1	0	11	21	11	13	13	2	17	
22	11	21	28	17	18	1	15	8	13	
28	15	2	18	23	25	28	27	9	28	

6	0	0	4	0	21	24	27	25	28	
29	29	17	14	3	11	26	14	5	0	
21	25	2	2	12	22	26	5	4	1	
11	0	32	21	1	29	20	14	0	7	
12	21	25	0	27	4	20	18	32	15	
7	9	25	11	15	19	3	32	24	4	
14	23	32	25	21	20	31	22	9	18	
9	17	23	8	17	16	31	21	25	20	
14	26	24	32	6	20	29	19	30	16	
16	14	29	30	5	8	6	23	30	20	

0	3	2	4	0	1	21	1	18	17	
14	2	32	4	19	1	5	21	10	10	
21	13	14	7	22	5	16	16	26	14	
0	11	12	4	27	24	29	21	21	16	
24	24	31	15	11	3	29	26	14	3	
28	24	1	13	30	2	5	6	3	19	
3	20	19	22	23	30	21	9	26	12	
32	25	6	5	12	5	19	6	31	6	
12	9	3	6	1	25	24	28	0	14	
13	26	15	16	24	7	18	3	30	29	

